Date,ABCB4,BBAS3,BBDC4,BPAN4,BTOW3,CGAS3,CMIG4,CSNA3,CYRE3,ELET3,ELPL4,ENBR3,EQTL3,EZTC3,FIBR3,GOAU4,HGTX3,ITUB4,LAME4,LREN3,MRVE3,MYPK3,PETR4,POMO4,QGEP3,RAPT4,SAPR4,SBSP3,SUZB5,TUPY3,USIM5,VALE5,WEGE3
9/3/2012,7.177322,16.824858,17.41412,NA,7.43239,23.004379,17.115568,7.85518,15.341004,11.494379,15.882715,9.974099,15.481087,17.080223,13.652336,21.106487,36.222649,19.031424,9.420377,7.957529,9.524239,24.60811,19.096922,4.777478,10.974621,7.584035,5.885807,23.95023,4.064083,21.382021,8.141819,26.351156,6.505449
9/4/2012,7.15996,16.746103,17.226334,NA,7.33058,23.170845,16.611174,7.464764,15.213084,11.485605,15.378908,10.081649,15.159472,17.108191,13.277321,21.182892,35.530388,18.645416,9.337065,7.874,9.296308,24.473885,18.866062,4.777478,11.133945,7.533627,5.95346,24.12224,4.018521,21.602741,8.012741,25.578697,6.710949
9/5/2012,7.368329,17.333181,17.278214,NA,7.39537,23.581573,17.144299,8.073814,15.350142,11.599672,15.293518,10.266116,15.389171,17.192013,13.652336,21.803665,35.932858,18.7048,9.772873,8.166256,9.027677,24.89451,19.013813,4.69679,11.124573,7.641657,6.048174,24.807774,4.155205,22.067167,9.452454,25.929094,6.967825
9/6/2012,7.536192,17.769915,17.449427,NA,7.38611,24.353003,17.196882,8.214363,15.605977,11.450508,15.387448,10.373664,15.389171,17.18502,14.286291,23.073879,35.940914,19.239206,9.894568,8.340466,9.524239,25.055601,19.392427,4.71802,11.330757,7.677672,6.021112,24.727264,4.17343,21.933819,9.561672,27.147505,7.025622
9/10/2012,7.553554,17.769915,17.465004,NA,7.38611,24.353003,16.776129,8.214363,15.605977,11.397861,15.028808,10.373664,15.389171,17.18502,14.777382,22.749161,35.940914,19.352051,9.93302,8.162713,9.255608,25.055601,19.604818,4.819938,11.34013,7.770137,5.885807,24.727264,4.164318,21.933819,9.651034,27.951817,7.025622
9/11/2012,7.524611,18.077772,17.553175,NA,7.34909,24.30303,15.126716,9.096704,15.523744,10.774883,15.378908,10.373664,15.389171,17.18502,14.777382,23.331739,35.417694,19.559925,10.197542,8.249787,9.524239,25.055601,20.057308,4.998304,11.386989,7.807307,5.987287,23.112082,4.383013,21.933819,9.879402,28.700384,7.096268
9/12/2012,7.669315,18.473026,17.823013,NA,8.02476,24.414026,12.090882,9.229445,15.53288,10.265972,15.071501,10.373664,15.389171,17.18502,15.313117,23.685102,35.610886,20.076515,10.056146,8.327345,9.524239,25.055601,20.306641,5.142691,11.433848,7.903089,5.351349,21.591232,4.474135,21.602741,10.673726,28.891508,6.993512
9/13/2012,7.814048,18.856825,18.284788,NA,8.70969,24.408474,12.69332,10.213296,15.806989,10.713463,15.455762,10.373664,15.389171,17.18502,16.38459,24.831161,35.739674,20.486254,10.313204,8.506281,9.524239,25.055601,21.146978,5.19365,11.602545,8.198529,5.486654,21.591232,4.783954,22.025785,12.113438,29.695822,7.221495
9/14/2012,7.842921,19.189939,18.528677,NA,8.80225,24.525019,12.788892,10.697412,15.688209,10.880176,15.711933,9.966384,15.389171,17.18502,16.893539,25.031717,35.739674,20.723782,10.165446,8.506281,9.524239,25.055601,21.516357,5.138442,11.330757,8.228073,5.527246,21.591232,4.966199,21.611937,11.825495,30.022322,7.224708
9/17/2012,7.732958,19.074068,18.601274,NA,8.70043,24.36405,13.085275,10.408504,15.605977,10.95037,16.002262,9.997169,15.187065,16.7868,16.518522,24.993521,35.514282,20.486254,10.422411,8.601754,9.402134,25.646151,21.488655,5.057753,11.20892,8.217844,5.716674,21.161127,5.04821,21.611937,11.368759,30.309011,7.282507
9/18/2012,7.553554,18.784414,18.378178,NA,8.95959,24.408474,13.4821,10.150829,15.761304,10.915273,16.548763,10.281469,15.416763,16.835745,16.250658,24.458693,35.900673,19.99931,10.204001,8.56002,9.296308,26.66625,21.424015,5.095972,11.386989,8.383495,5.85198,21.849329,5.139333,21.478584,11.418405,30.460314,7.304983
9/19/2012,7.756149,19.153723,18.367821,NA,8.84853,24.447344,13.243101,10.228912,16.062826,10.634495,16.437757,10.181558,15.563778,16.856718,16.429235,24.315437,36.061657,20.011137,10.184726,8.512252,9.573082,25.95932,20.934587,5.028024,11.52757,8.556355,5.791092,21.36927,5.020874,21.84185,11.388618,30.125847,7.272874
